GEOID,NAME,age_15_to_24,age_25_to_34,age_35_to_44,age_45_to_54,age_55_to_59,age_60_to_64,age_65_to_74,age_75_to_85,age_85_plus
0103,"Congressional District 3 (111th Congress), Alabama",15480,20692,15977,13896,5434,4490,5918,3878,1767
0104,"Congressional District 4 (111th Congress), Alabama",6188,13875,12959,11427,4633,4137,6060,4260,1876
0101,"Congressional District 1 (111th Congress), Alabama",9110,20494,15224,14692,5526,4467,5592,3574,2048
0102,"Congressional District 2 (111th Congress), Alabama",10810,22257,16838,14165,5479,4308,5566,3571,1645
0105,"Congressional District 5 (111th Congress), Alabama",11446,21523,16324,14809,5315,4266,5500,3922,2159
0106,"Congressional District 6 (111th Congress), Alabama",8469,20376,13786,10979,4016,3154,3858,3326,2355
0107,"Congressional District 7 (111th Congress), Alabama",16394,23504,16611,16817,7226,5312,6132,3832,1478
0200,"Congressional District (at Large) (111th Congress), Alaska",12508,27081,18396,17317,6966,4921,4765,2317,1022
0401,"Congressional District 1 (111th Congress), Arizona",10053,18102,15808,15993,6780,5340,6143,3593,2046
0402,"Congressional District 2 (111th Congress), Arizona",9594,22943,20608,16607,6247,5320,7362,5363,4725
1709,"Congressional District 9 (111th Congress), Illinois",10073,30454,21152,18837,7587,5985,7189,5285,3957
1711,"Congressional District 11 (111th Congress), Illinois",8996,16297,12527,11853,4414,3415,4246,3556,2451
1712,"Congressional District 12 (111th Congress), Illinois",12393,20791,15435,14541,5672,4340,5729,4302,2402
1713,"Congressional District 13 (111th Congress), Illinois",4324,16237,11785,8968,3048,2339,2819,2634,2630
1714,"Congressional District 14 (111th Congress), Illinois",9517,18422,13565,11020,3885,2932,3665,2963,2349
1715,"Congressional District 15 (111th Congress), Illinois",20656,23411,13099,12098,4788,3672,4773,4074,3061
1716,"Congressional District 16 (111th Congress), Illinois",6363,15575,13246,12321,4593,3505,4628,3739,2840
1717,"Congressional District 17 (111th Congress), Illinois",10953,17566,12984,13205,5302,4255,5775,4994,3805
1718,"Congressional District 18 (111th Congress), Illinois",8595,16980,12095,12080,4772,3712,5139,4396,3242
1719,"Congressional District 19 (111th Congress), Illinois",8208,13889,10212,10221,3961,3292,4604,4115,3012
1801,"Congressional District 1 (111th Congress), Indiana",6832,19208,14923,14438,5821,4458,5278,3711,2127
1802,"Congressional District 2 (111th Congress), Indiana",8692,18657,13979,13154,5225,3944,4983,3819,2793
1803,"Congressional District 3 (111th Congress), Indiana",9200,18105,13850,12352,4596,3380,4389,3640,2901
1804,"Congressional District 4 (111th Congress), Indiana",16237,20730,14856,12685,4576,3468,4652,3718,2696
1805,"Congressional District 5 (111th Congress), Indiana",9015,21035,15291,12936,4664,3559,4704,3948,3006
1806,"Congressional District 6 (111th Congress), Indiana",10460,15831,13704,12884,4712,3824,5234,3906,2642
1807,"Congressional District 7 (111th Congress), Indiana",17728,37306,25257,23144,8464,6290,7044,4144,2430
1808,"Congressional District 8 (111th Congress), Indiana",10835,17168,13295,13223,5220,4078,5607,4668,2850
1809,"Congressional District 9 (111th Congress), Indiana",16006,21061,14722,13376,5106,4105,5248,4026,2350
2004,"Congressional District 4 (111th Congress), Kansas",12645,23198,15937,15013,5771,4308,5289,4573,3403
1901,"Congressional District 1 (111th Congress), Iowa",11012,15868,10256,10465,3966,3086,4073,4151,3490
1902,"Congressional District 2 (111th Congress), Iowa",15205,19346,10955,10317,4167,3180,3885,3660,3182
1903,"Congressional District 3 (111th Congress), Iowa",10511,19408,12256,11051,4315,3300,4194,4046,3353
1904,"Congressional District 4 (111th Congress), Iowa",13390,15403,9234,9475,3623,2793,4000,4336,3882
1905,"Congressional District 5 (111th Congress), Iowa",7520,13382,10046,10733,4087,3257,4489,4797,3796
2001,"Congressional District 1 (111th Congress), Kansas",12481,18296,12218,12554,4767,3727,4927,4974,3981
2002,"Congressional District 2 (111th Congress), Kansas",17961,23119,15059,13438,5033,4039,5183,4530,3727
2003,"Congressional District 3 (111th Congress), Kansas",14773,29698,17673,14598,5523,4221,4604,3919,3404
2102,"Congressional District 2 (111th Congress), Kentucky",11693,21493,16990,14955,5466,4433,5714,3769,1768
2103,"Congressional District 3 (111th Congress), Kentucky",12802,29685,20682,20282,8175,6032,6643,4526,2646
2105,"Congressional District 5 (111th Congress), Kentucky",7783,15047,14005,13252,5488,4852,6627,3459,1183
2106,"Congressional District 6 (111th Congress), Kentucky",17869,29403,21000,18874,7151,5463,6485,4036,2335
2201,"Congressional District 1 (111th Congress), Louisiana",9242,22082,14775,13741,5767,4516,5200,3735,2154
2202,"Congressional District 2 (111th Congress), Louisiana",10158,25089,16940,16780,6891,5382,5753,2903,1123
2203,"Congressional District 3 (111th Congress), Louisiana",6329,14512,11097,10961,4075,3228,4083,2392,985
2204,"Congressional District 4 (111th Congress), Louisiana",11984,23287,16010,14801,5839,4632,5561,3393,1694
2205,"Congressional District 5 (111th Congress), Louisiana",10368,19395,14128,13775,5757,4330,5673,3661,1701
2206,"Congressional District 6 (111th Congress), Louisiana",15915,25581,15515,14100,5551,4150,4571,2674,1458
2207,"Congressional District 7 (111th Congress), Louisiana",12215,21150,13587,13853,5428,4095,5442,3525,1369
2302,"Congressional District 2 (111th Congress), Maine",9737,16171,12741,13196,5386,4636,6895,6510,3857
2101,"Congressional District 1 (111th Congress), Kentucky",10383,18791,14392,13887,5266,4519,6330,4305,2190
2104,"Congressional District 4 (111th Congress), Kentucky",7901,18013,15341,14336,5273,4461,5611,3707,1922
2301,"Congressional District 1 (111th Congress), Maine",7997,18617,14314,13849,5690,4564,6169,5559,3914
2401,"Congressional District 1 (111th Congress), Maryland",6821,13776,12045,12035,4346,3478,4660,3838,2555
3607,"Congressional District 7 (111th Congress), New York",5578,31185,36158,34691,13906,11780,15602,9187,3966
3608,"Congressional District 8 (111th Congress), New York",16891,66138,44151,35072,15917,15324,20354,14994,7588
3609,"Congressional District 9 (111th Congress), New York",5005,25104,25412,25204,10943,10059,12637,10070,6150
3610,"Congressional District 10 (111th Congress), New York",9119,38192,36939,35582,13754,12020,16230,8815,3446
3611,"Congressional District 11 (111th Congress), New York",7457,41092,38886,38298,16594,13776,17477,8837,3439
3612,"Congressional District 12 (111th Congress), New York",11771,53102,40634,34355,14148,12067,16347,10488,3883
3613,"Congressional District 13 (111th Congress), New York",4673,24260,23612,22226,9091,7454,9612,7546,3775
3614,"Congressional District 14 (111th Congress), New York",19156,79180,43412,33039,14700,14057,19530,12731,6324
3615,"Congressional District 15 (111th Congress), New York",10570,42883,40743,42777,18972,16485,24487,15077,6808
3616,"Congressional District 16 (111th Congress), New York",9369,40073,47017,49060,18372,14815,19973,9881,3126
3617,"Congressional District 17 (111th Congress), New York",6758,28657,29977,29839,11624,10002,12177,7648,4473
3618,"Congressional District 18 (111th Congress), New York",3674,17658,18489,16815,6361,5268,7289,5755,3500
3619,"Congressional District 19 (111th Congress), New York",3682,12662,11741,11906,4425,3670,4785,3902,2147
3620,"Congressional District 20 (111th Congress), New York",6237,15581,13016,13196,5156,4451,5991,5002,3058
3621,"Congressional District 21 (111th Congress), New York",12656,27123,18998,19017,7772,6411,8069,6569,4238
3622,"Congressional District 22 (111th Congress), New York",12908,23548,16947,17348,7122,5770,7502,5366,3367
3623,"Congressional District 23 (111th Congress), New York",11018,18515,12904,12012,4463,3718,5326,4537,2383
3624,"Congressional District 24 (111th Congress), New York",9547,17891,13291,13578,5527,4645,6361,5341,3600
3625,"Congressional District 25 (111th Congress), New York",9746,19406,14194,14227,5694,4613,6077,4982,3575
3701,"Congressional District 1 (111th Congress), North Carolina",10921,21331,17502,18884,8130,6411,8462,5622,2558
3626,"Congressional District 26 (111th Congress), New York",8437,14808,11076,10913,4374,3666,5418,5848,4744
3627,"Congressional District 27 (111th Congress), New York",10118,21101,15478,16018,6496,5135,7013,5948,3471
3628,"Congressional District 28 (111th Congress), New York",14342,29227,21112,22105,8867,6970,8154,5527,3276
3629,"Congressional District 29 (111th Congress), New York",9010,16014,11654,11798,4716,3858,5290,4883,3577
3702,"Congressional District 2 (111th Congress), North Carolina",12864,25775,19835,16118,6034,4830,5956,3765,1540
3703,"Congressional District 3 (111th Congress), North Carolina",18672,23976,16410,13916,5104,4011,4944,3326,1561
3704,"Congressional District 4 (111th Congress), North Carolina",16399,37265,22909,16862,6099,4502,4897,3856,3040
3705,"Congressional District 5 (111th Congress), North Carolina",10591,16991,14309,12805,4816,3989,5329,3764,2119
3706,"Congressional District 6 (111th Congress), North Carolina",8321,18236,15675,12980,4731,3839,4885,4277,3481
3707,"Congressional District 7 (111th Congress), North Carolina",12355,23307,17998,16266,6457,5417,6759,4259,2201
3708,"Congressional District 8 (111th Congress), North Carolina",12141,27632,20756,16345,5955,4610,5612,3654,2005
3709,"Congressional District 9 (111th Congress), North Carolina",8976,26460,21148,15542,5470,4345,4709,3445,2554
3710,"Congressional District 10 (111th Congress), North Carolina",6807,16202,16077,14028,5195,4485,5868,3778,1793
3711,"Congressional District 11 (111th Congress), North Carolina",9112,19276,15635,14363,5826,5181,6815,5168,3505
3712,"Congressional District 12 (111th Congress), North Carolina",17187,36633,26978,22228,8102,6385,7240,4093,1995
3713,"Congressional District 13 (111th Congress), North Carolina",16081,31934,23782,18603,6698,5400,6472,4222,2305
3800,"Congressional District (at Large) (111th Congress), North Dakota",20311,24098,12723,12909,5395,4155,5759,6635,5264
3902,"Congressional District 2 (111th Congress), Ohio",8530,20020,14280,13339,5304,4290,5389,4490,3306
3905,"Congressional District 5 (111th Congress), Ohio",9120,14463,11266,10408,3962,3142,4213,3306,2424
3908,"Congressional District 8 (111th Congress), Ohio",10133,18066,14898,14072,5223,4066,4885,3632,2278
3901,"Congressional District 1 (111th Congress), Ohio",14417,24489,17902,19023,7632,5576,6706,4787,2549
3903,"Congressional District 3 (111th Congress), Ohio",9169,19957,16072,15477,6152,5163,6310,4911,3199
3904,"Congressional District 4 (111th Congress), Ohio",8310,15714,12939,12205,4734,3954,5026,3841,2933
0403,"Congressional District 3 (111th Congress), Arizona",11496,28183,22179,18765,6380,4868,5061,3058,2369
0404,"Congressional District 4 (111th Congress), Arizona",12172,31714,25933,19432,6544,4804,5283,2384,698
0405,"Congressional District 5 (111th Congress), Arizona",20709,34483,21064,16964,5692,4248,4464,3113,2519
0406,"Congressional District 6 (111th Congress), Arizona",9662,26571,22802,16152,5361,4363,5450,3886,3149
0407,"Congressional District 7 (111th Congress), Arizona",15832,26359,21290,17360,6542,4870,6064,3192,1194
0408,"Congressional District 8 (111th Congress), Arizona",13099,25451,18091,16778,7016,5616,6722,5039,4186
0501,"Congressional District 1 (111th Congress), Arkansas",10352,20070,16323,15841,5988,5120,7239,4831,2360
0502,"Congressional District 2 (111th Congress), Arkansas",15432,29059,19670,17162,6440,4795,5539,4042,2634
0503,"Congressional District 3 (111th Congress), Arkansas",17261,28458,20079,17317,6181,4928,6134,4337,2752
0504,"Congressional District 4 (111th Congress), Arkansas",9478,17501,14303,14082,5714,4390,6316,4387,2413
0606,"Congressional District 6 (111th Congress), California",7050,22653,21911,20336,8802,7122,6985,4562,3753
0601,"Congressional District 1 (111th Congress), California",15616,27066,20532,19263,7908,6411,6966,4238,3011
0602,"Congressional District 2 (111th Congress), California",14456,24262,18585,18222,7316,5741,6782,4399,3066
0604,"Congressional District 4 (111th Congress), California",7538,20271,17320,16723,6469,5173,5662,4073,3240
0603,"Congressional District 3 (111th Congress), California",7643,22403,20106,18398,6547,4884,5673,3804,2591
