airport,lat,long,year,total_passengers
Portland International Airport,45.587132600000004,-122.59277984939183,2009,6430119
Salt Lake City International Airport,40.790066100000004,-111.97989846185591,2009,8253620
Tampa International Airport,27.9791649,-82.5349276153517,2009,8263294
San Diego International Airport,32.73336075,-117.19224641277626,2009,8453854
Ronald Reagan Washington National Airport,38.851289449999996,-77.03968893913375,2009,8490288
Philadelphia International Airport,39.875018,-75.23521278969667,2009,9903821
Fort Lauderdale–Hollywood International Airport,26.072017000000002,-80.15099673135214,2009,10258118
Baltimore/Washington International Airport,39.1747196,-76.67075505810189,2009,10338950
LaGuardia Airport[18],40.7757145,-73.87336398511545,2009,11084300
Washington Dulles International Airport,38.95226625,-77.45342297783296,2009,11132098
Logan International Airport,42.3630236,-71.01340798670637,2009,12566797
St. Louis Lambert International Airport,38.749571950000004,-90.37014071044965,2009,15002961
Detroit Metropolitan Airport,42.205699100000004,-83.35297537621658,2009,15211402
Seattle–Tacoma International Airport,47.4475673,-122.3080158569515,2009,15273092
Minneapolis–Saint Paul International Airport,44.878019050000006,-93.2209280537696,2009,15551206
Miami International Airport,25.7949789,-80.28672341095405,2009,16187768
Orlando International Airport,28.412903550000003,-81.30944309752753,2009,16371016
Newark Liberty International Airport[16],40.68906405,-74.17725485035348,2009,16659441
Charlotte Douglas International Airport,35.21074145,-80.9457435226013,2009,18165476
San Francisco International Airport[15],37.622451999999996,-122.38407160781362,2009,18467908
Phoenix Sky Harbor International Airport,33.43290795,-112.00942180184659,2009,18559647
George Bush Intercontinental Airport,29.9841416,-95.33298595614491,2009,19290239
McCarran International Airport,36.0861034,-115.16111989849915,2009,19445952
John F. Kennedy International Airport[14],40.642947899999996,-73.7793733748521,2009,22710272
Denver International Airport,39.8606676,-104.68536732610298,2009,24013669
Dallas/Fort Worth International Airport,32.89651945,-97.0465220537124,2009,26663984
Los Angeles International Airport,33.94216754999999,-118.42139298414197,2009,27439897
O'Hare International Airport,41.977984899999996,-87.90917993412859,2009,31135732
Hartsfield-Jackson International Airport,33.63779875,-84.42927118585675,2009,42280868
Nashville International Airport,36.11958985,-86.68308703291842,2009,NA
Dallas Love Field,32.84524055,-96.84732187569065,2009,NA
Portland International Airport,45.587132600000004,-122.59277984939183,2010,6582227
Tampa International Airport,27.9791649,-82.5349276153517,2010,8137222
San Diego International Airport,32.73336075,-117.19224641277626,2010,8430509
Salt Lake City International Airport,40.790066100000004,-111.97989846185591,2010,8518957
Ronald Reagan Washington National Airport,38.851289449999996,-77.03968893913375,2010,8736804
Philadelphia International Airport,39.875018,-75.23521278969667,2010,9910493
Fort Lauderdale–Hollywood International Airport,26.072017000000002,-80.15099673135214,2010,10829810
Baltimore/Washington International Airport,39.1747196,-76.67075505810189,2010,10848633
Washington Dulles International Airport,38.95226625,-77.45342297783296,2010,11276481
LaGuardia Airport[18],40.7757145,-73.87336398511545,2010,12001501
Logan International Airport,42.3630236,-71.01340798670637,2010,13561814
St. Louis Lambert International Airport,38.749571950000004,-90.37014071044965,2010,14951254
Seattle–Tacoma International Airport,47.4475673,-122.3080158569515,2010,15406243
Minneapolis–Saint Paul International Airport,44.878019050000006,-93.2209280537696,2010,15512487
Detroit Metropolitan Airport,42.205699100000004,-83.35297537621658,2010,15643890
Newark Liberty International Airport[16],40.68906405,-74.17725485035348,2010,16571754
Orlando International Airport,28.412903550000003,-81.30944309752753,2010,17017491
Miami International Airport,25.7949789,-80.28672341095405,2010,17017654
Charlotte Douglas International Airport,35.21074145,-80.9457435226013,2010,18629181
Phoenix Sky Harbor International Airport,33.43290795,-112.00942180184659,2010,18907171
McCarran International Airport,36.0861034,-115.16111989849915,2010,18996738
San Francisco International Airport[15],37.622451999999996,-122.38407160781362,2010,19359003
George Bush Intercontinental Airport,29.9841416,-95.33298595614491,2010,19528631
John F. Kennedy International Airport[14],40.642947899999996,-73.7793733748521,2010,22934047
Denver International Airport,39.8606676,-104.68536732610298,2010,25241962
Dallas/Fort Worth International Airport,32.89651945,-97.0465220537124,2010,27100656
Los Angeles International Airport,33.94216754999999,-118.42139298414197,2010,28857755
O'Hare International Airport,41.977984899999996,-87.90917993412859,2010,32171831
Hartsfield-Jackson International Airport,33.63779875,-84.42927118585675,2010,43130585
Nashville International Airport,36.11958985,-86.68308703291842,2010,NA
Dallas Love Field,32.84524055,-96.84732187569065,2010,NA
Portland International Airport,45.587132600000004,-122.59277984939183,2011,6808486
Tampa International Airport,27.9791649,-82.5349276153517,2011,8174194
San Diego International Airport,32.73336075,-117.19224641277626,2011,8465683
Ronald Reagan Washington National Airport,38.851289449999996,-77.03968893913375,2011,9053004
Salt Lake City International Airport,40.790066100000004,-111.97989846185591,2011,9134576
Philadelphia International Airport,39.875018,-75.23521278969667,2011,9701756
Washington Dulles International Airport,38.95226625,-77.45342297783296,2011,11043829
